#--------------------------------------------------------------------------
# Transmittance and reflectance of a multilayered film at 
# 0.3 - 1.0 um wavelength range computed by the transfer matrix method. 
#
# The multilayered film consist of:  
#   50 nm   silver
#   500 nm  dielectric (N = 1.5)
#   200 nm  silver
#
# F. Ramirez 2022
#--------------------------------------------------------------------------
# column 1: wavelength (um)
# column 2: Reflectance
# column 3: Transmittance
#
0.200000 0.290627 0.000000
0.200901 0.291689 0.000000
0.201802 0.291386 0.000000
0.202703 0.290032 0.000000
0.203604 0.287993 0.000000
0.204505 0.285590 0.000000
0.205405 0.283053 0.000000
0.206306 0.280533 0.000000
0.207207 0.278120 0.000000
0.208108 0.275863 0.000000
0.209009 0.273774 0.000000
0.209910 0.271734 0.000000
0.210811 0.269901 0.000000
0.211712 0.268265 0.000000
0.212613 0.266823 0.000000
0.213514 0.265575 0.000000
0.214414 0.264528 0.000000
0.215315 0.263694 0.000000
0.216216 0.263096 0.000000
0.217117 0.262766 0.000000
0.218018 0.262743 0.000000
0.218919 0.263101 0.000000
0.219820 0.263893 0.000000
0.220721 0.265189 0.000000
0.221622 0.267058 0.000000
0.222523 0.269555 0.000000
0.223423 0.272701 0.000000
0.224324 0.276460 0.000000
0.225225 0.280708 0.000000
0.226126 0.285222 0.000000
0.227027 0.289680 0.000000
0.227928 0.294012 0.000000
0.228829 0.297588 0.000000
0.229730 0.300118 0.000000
0.230631 0.301496 0.000000
0.231532 0.301765 0.000000
0.232432 0.301083 0.000000
0.233333 0.299660 0.000000
0.234234 0.297718 0.000000
0.235135 0.295451 0.000000
0.236036 0.293016 0.000000
0.236937 0.290551 0.000000
0.237838 0.288140 0.000000
0.238739 0.285831 0.000000
0.239640 0.283654 0.000000
0.240541 0.281624 0.000000
0.241441 0.279749 0.000000
0.242342 0.278031 0.000000
0.243243 0.276470 0.000000
0.244144 0.275063 0.000000
0.245045 0.273811 0.000000
0.245946 0.272382 0.000000
0.246847 0.270985 0.000000
0.247748 0.269742 0.000000
0.248649 0.268661 0.000000
0.249550 0.267750 0.000000
0.250450 0.267023 0.000000
0.251351 0.266495 0.000000
0.252252 0.266187 0.000000
0.253153 0.266122 0.000000
0.254054 0.266328 0.000000
0.254955 0.266719 0.000000
0.255856 0.267384 0.000000
